name:ru,name:en,addr:country,addr:region,addr:district,name,wikipedia,longitude,latitude,id
Невель,Nevel,RU,Псковская область,Невельский район,Невель,ru:Невель,29.917128,56.017616,26163795
Кандалакша,Kandalaksha,RU,Мурманская область,Кандалакшский район,Кандалакша,ru:Кандалакша,32.4130551,67.151442,26878551
Апатиты,Apatity,RU,Мурманская область,муниципальный округ Апатиты,Апатиты,ru:Апатиты,33.404392,67.568626,26898767
Калевала,Kalevala,RU,,Калевальский район,Калевала,ru:Калевала (Карелия),31.180172,65.200096,26898768
Кировск,Kirovsk,RU,Мурманская область,муниципальный округ Кировск,Кировск,ru:Кировск (Мурманская область),33.6637527,67.6151331,26898769
Надвоицы,Nadvoitsy,RU,,Сегежский район,Надвоицы,ru:Надвоицы,34.2660109,63.8924047,26898776
Сегежа,Segezha,RU,,Сегежский район,Сегежа,ru:Сегежа,34.3106868,63.7435087,26898825
Зеленоборский,Zelenoborskij,RU,Мурманская область,Кандалакшский район,Зеленоборский,ru:Зеленоборский,32.3871,66.857452,26898826
Кондопога,Kondopoga,RU,,Кондопожский район,Кондопога,ru:Кондопога,34.268185,62.20929,26921263
Мезень,Mezen',RU,Архангельская область,Мезенский район,Мезень,ru:Мезень (город),44.244141,65.843956,26925161
Каргополь,Kargopol',RU,Архангельская область,Каргопольский муниципальный округ,Каргополь,ru:Каргополь,38.940796,61.509121,26952234
Вельск,Vel'sk,RU,Архангельская область,Вельский район,Вельск,ru:Вельск,42.0979582,61.0756446,26958524
Вышний Волочёк,Vysnij Volocek,RU,Тверская область,Вышневолоцкий городской округ,Вышний Волочёк,ru:Вышний Волочёк,34.5720732,57.5883648,27001056
Луга,Luga,RU,Ленинградская область,Лужский район,Луга,ru:Луга,29.8475013,58.735699,27023177
Балтийск,Baltiysk,RU,Калининградская область,,Балтийск,ru:Балтийск,19.8941584,54.6437214,27048978
Опочка,Opochka,RU,Псковская область,,Опочка,ru:Опочка,28.656818,56.71167,27081144
Себеж,Sebezh,RU,Псковская область,Себежский район,Себеж,ru:Себеж,28.4848862,56.2774187,27084320
Тихвин,Tikhvin,RU,Ленинградская область,Тихвинский район,Тихвин,ru:Тихвин,33.5418624,59.644323,27446511
Борисоглебский,Borisoglebsky,RU,Ярославская область,Борисоглебский район,Борисоглебский,ru:Борисоглебский (Ярославская область),39.1476952,57.2578179,27464354
Ростов,Rostov,RU,Ярославская область,Ростовский район,Ростов,ru:Ростов,39.4249557,57.1860127,27464486
Хвойная,,RU,Новгородская область,Хвойнинский муниципальный округ,Хвойная,ru:Хвойная (Хвойнинский район),34.5121844,58.8960621,27492465
Славянск-на-Кубани,Slavyansk-na-Kubani,RU,Краснодарский край,Славянский район,Славянск-на-Кубани,ru:Славянск-на-Кубани,38.1244609,45.2590875,29750243
Темрюк,Temryuk,RU,Краснодарский край,Темрюкский район,Темрюк,ru:Темрюк,37.3905481,45.2751663,29751525
Анапа,Anapa,RU,Краснодарский край,,Анапа,ru:Анапа,37.316887,44.894272,29804102
Приморско-Ахтарск,Primorsko-Akhtarsk,RU,Краснодарский край,Приморско-Ахтарский район,Приморско-Ахтарск,ru:Приморско-Ахтарск,38.1554803,46.043181,29866496
Ейск,Yeysk,RU,Краснодарский край,Ейский район,Ейск,ru:Ейск,38.2747987,46.7112094,29866526
Геленджик,Gelendzhik,RU,Краснодарский край,,Геленджик,ru:Геленджик,38.0766832,44.5609447,34181150
Кабардинка,Kabardinka,RU,Краснодарский край,городской округ Геленджик,Кабардинка,ru:Кабардинка,37.9395292,44.6515718,34181855
Дубна,Dubna,RU,Московская область,городской округ Дубна,Дубна,ru:Дубна,37.1623696,56.7362705,34389205
Конаково,Konakovo,RU,Тверская область,Конаковский район,Конаково,ru:Конаково,36.7775654,56.7131572,34389206
Приморск,Primorsk,RU,Ленинградская область,Выборгский район,Приморск,ru:Приморск (Ленинградская область),28.616673,60.366665,34390476
Высоцк,Vysotsk,RU,Ленинградская область,Выборгский район,Высоцк,ru:Высоцк,28.5688339,60.6280319,34390960
Светогорск,Svetogorsk,RU,Ленинградская область,Выборгский район,Светогорск,ru:Светогорск,28.8701036,61.1112542,34391623
Каменногорск,Kamennogorsk,RU,Ленинградская область,Выборгский район,Каменногорск,ru:Каменногорск,29.1303401,60.9526102,34391624
Новая Ладога,Novaya Ladoga,RU,Ленинградская область,Волховский район,Новая Ладога,ru:Новая Ладога,32.3147626,60.1052425,34392894
Волхов,Volkhov,RU,Ленинградская область,Волховский район,Волхов,ru:Волхов (город),32.3276803,59.9275868,34392911
Беслан,Beslan,RU,,Правобережный район,Беслан,ru:Беслан,44.5375689,43.1875572,34395335
Магас,Magas,RU,Ингушетия,городской округ Магас,Магас,ru:Магас,44.8048191,43.1666497,34395341
