name,highway,id
Барвихинская улица,tertiary,4870954
Барвихинская улица,tertiary,4870985
улица Толбухина,tertiary,4871028
проезд Толбухина,residential,4871099
Беловежская улица,secondary,4871205
Запорожская улица,tertiary,4871228
Вяземская улица,secondary,5028788
улица Николая Химушина,secondary,5137051
улица Петровка,tertiary,5169378
Старая площадь,primary,5169713
Славянская площадь,secondary,5169728
Китайгородский проезд,primary,5169745
Кремлёвская набережная,primary,5169769
Дмитровское шоссе,primary,5169870
Оружейный переулок,primary,5170148
Прибрежный проезд,tertiary,5170161
Смольная улица,tertiary,5170186
Прибрежный проезд,tertiary,5170228
улица Дыбенко,secondary,5170233
Зеленоградская улица,unclassified,5170244
Фестивальная улица,tertiary,5170363
улица Грачёвка,residential,5170649
Флотская улица,residential,5170796
Флотская улица,residential,5170861
Петрозаводская улица,secondary,5170885
улица Ляпидевского,tertiary,5173774
Солнечногорский проезд,residential,5173788
Авангардная улица,secondary,5184664
Авангардная улица,secondary,5184666
Конаковский проезд,residential,5184675
Кронштадтский бульвар,secondary,5184764
Смольная улица,tertiary,5184765
Кронштадтский бульвар (дублёр),secondary,5184781
Нарвская улица,tertiary,5184861
Выборгская улица,tertiary,5184930
1-й Лихачёвский переулок,residential,5184955
Пакгаузное шоссе,residential,5184956
3-й Лихачёвский переулок,residential,5185021
3-й Лихачёвский переулок,residential,5185024
4-й Лихачёвский переулок,residential,5185028
Лихоборская набережная,tertiary,5185049
Онежская улица (дублёр),tertiary,5185074
Лихоборская набережная,tertiary,5185158
Автомоторная улица,tertiary,5185180
3-й Нижнелихоборский проезд,secondary,5204522
проезд Черепановых,unclassified,5204810
4-й Новомихалковский проезд,tertiary,5204840
3-й Новомихалковский проезд,unclassified,5204858
1-й Новомихалковский проезд,residential,5204862
улица Генерала Рычагова,unclassified,5204874
улица Генерала Рычагова,unclassified,5204878
проезд Черепановых,tertiary,5204905
Коптевская улица,tertiary,5204909
улица Клары Цеткин,tertiary,5204932
Монтажная улица,tertiary,5233423
улица Николая Химушина,tertiary,5233446
Пречистенская набережная,secondary,5366647
улица Академика Капицы,tertiary,5366823
улица Хамовнический Вал,secondary,5366958
Сиреневый бульвар,secondary,5382150
Сиреневый бульвар,secondary,5382631
Старопетровский проезд,tertiary,5440042
5-й Новоподмосковный переулок,residential,5440710
6-й Новоподмосковный переулок,tertiary,5440901
Новопетровская улица,tertiary,5444715
Старокоптевский переулок,residential,5445025
проезд Черепановых,unclassified,5445607
Коптевский бульвар,residential,5446047
Коптевский бульвар,tertiary,5446127
бульвар Матроса Железняка,tertiary,5446393
бульвар Матроса Железняка,tertiary,5447380
3-й Михалковский переулок,residential,5447918
улица Приорова,unclassified,5453705
8-й Новоподмосковный переулок,unclassified,5453950
8-й Новоподмосковный переулок,residential,5454283
улица Зои и Александра Космодемьянских,secondary,5454637
улица Зои и Александра Космодемьянских,secondary,5454828
Большая Академическая улица,secondary,5455731
Большая Академическая улица,secondary,5455858
Большая Академическая улица,secondary,5456343
3-й Новоподмосковный переулок,residential,5547523
Вокзальный переулок,tertiary,5547560
2-й Новоподмосковный переулок,tertiary,5547891
улица Космонавта Волкова,secondary,5548058
улица Космонавта Волкова,tertiary,5548224
улица Новая Ипатовка,unclassified,5548459
Никольский тупик,unclassified,5719203
улица Прянишникова,unclassified,5719504
Пасечная улица,living_street,5720172
улица Вучетича,residential,5722089
улица Вучетича,unclassified,5722162
проезд Соломенной Сторожки,residential,5722258
Астрадамский проезд,residential,5722399
Астрадамская улица,residential,5722434
Дмитровский проезд,residential,5722563
улица Немчинова,residential,5723470
Ивановская улица,tertiary,5723529
улица Всеволода Вишневского,residential,5723718
2-я Хуторская улица,tertiary,5759712
1-й Хуторской переулок,residential,5759746
3-й Хуторской переулок,residential,5759815
4-й Хуторской переулок,residential,5759883
4-й Вятский переулок,residential,5761262
Писцовая улица,residential,5761343
1-я Квесисская улица,residential,5761525
Раздельная улица,residential,5761538
Башиловская улица,tertiary,5761598
Полтавская улица,unclassified,5761865
Выборгская улица,residential,6108081
Выборгская улица,residential,6108131
Ленинградское шоссе,primary,6109909
Ленинградское шоссе,primary,6115699
Ленинградское шоссе (дублёр),tertiary,6174088
Ленинградское шоссе (дублёр),tertiary,6174105
Ленинградское шоссе,secondary,6174141
Ленинградское шоссе (дублёр),secondary_link,6174195
Часовая улица,tertiary,6174491
улица Лизы Чайкиной,tertiary,6187547
улица Лизы Чайкиной,tertiary,6187614
улица Лизы Чайкиной,tertiary,6187698
Шебашёвский переулок,residential,6187821
1-й Балтийский переулок,residential,6188149
2-й Балтийский переулок,residential,6188237
улица Самеда Вургуна,residential,6189138
улица Асеева,residential,6189259
Шебашёвский проезд,residential,6189558
3-й Балтийский переулок,residential,6189857
Амбулаторный переулок,residential,6190097
Малый Коптевский проезд,residential,6190352
Большой Коптевский проезд,residential,6190520
улица Черняховского,residential,6857416
улица Черняховского,residential,6857620
Красноармейская улица,tertiary,6858353
1-я Аэропортовская улица,residential,6858579
Авиационный переулок,unclassified,6859071
улица Константина Симонова,unclassified,6859432
улица Степана Супруна,unclassified,6859736
улица Пилота Нестерова,residential,6860093
улица Серёгина,tertiary,6860831
улица Академика Ильюшина,residential,6861252
Старый Зыковский проезд,residential,6862216
Эльдорадовский переулок,residential,6862541
Планетная улица,tertiary,6863057
Кочновский проезд,living_street,6863572
улица Коккинаки,residential,6864055
4-я улица 8 Марта,residential,6864130
1-я улица 8 Марта,residential,6864556
Новый Зыковский проезд,residential,6864968
улица 8 Марта,residential,6865311
Петровско-Разумовский проезд,unclassified,6866774
улица Юннатов,residential,6867786
Мишина улица,residential,6868105
Мирской переулок,tertiary,6900567
Мирской проезд,residential,6900942
улица Верхняя Масловка,tertiary,6901063
Коленчатый переулок,residential,6901929
Петровско-Разумовская аллея,tertiary,6902271
Летняя аллея,residential,6903473
Красноармейская улица,tertiary,6903884
Дворцовая аллея,residential,6904088
Левая Дворцовая аллея,tertiary,6905269
Правая Дворцовая аллея,tertiary,6905469
Театральная аллея,tertiary,6905750
Московская аллея,residential,6906476
площадь Космонавта Комарова,tertiary,6908890
улица Расковой,unclassified,7268371
переулок Расковой,unclassified,7269256
5-я улица Ямского Поля,unclassified,7269432
5-я улица Ямского Поля,residential,7269676
3-я улица Ямского Поля,residential,7276963
1-й Лесной переулок,unclassified,7278790
2-й Лесной переулок,unclassified,7278951
4-й Лесной переулок,unclassified,7279410
4-я Гражданская улица,residential,7723279
Каширское шоссе,primary,7970887
Бойцовая улица,tertiary,7972970
Вербная улица,tertiary,7973890
Вербная улица,residential,7973925
3-я Гражданская улица,tertiary,7974057
