name,highway,id
Шепетовская улица,residential,4078548
бульвар Алексея Толстого,residential,4414959
Ахматовская улица,residential,4414960
Садовая улица,secondary,4414988
Парашютная улица,primary,4454283
Екатерининский проспект,tertiary,4454334
Виндавская улица,tertiary,4454357
Зоологический переулок,primary,4454376
набережная Обводного канала,unclassified,4454381
Коннолахтинская дорога,secondary,4454388
Кожевенная линия,unclassified,4454390
Двинская улица,tertiary,4454419
Заневский проспект,primary_link,4454438
площадь Военных Медиков,secondary,4454465
Вокзальная улица,residential,4454470
набережная канала Грибоедова,unclassified,4454526
улица Чернова,tertiary,4454554
проспект Металлистов,residential,4454579
проспект Энергетиков,primary,4454660
улица Севастьянова,residential,4454679
Петергофская улица,secondary,4454689
Моховая улица,residential,4454742
Заречная улица,tertiary,4454755
улица Руставели,primary_link,4454784
переулок Гривцова,primary,4454822
улица Александра Невского,residential,4454951
Гражданский проспект,residential,4454992
улица Доблести,secondary,4455064
улица Нахимова,secondary,4455074
Арсенальная набережная,primary,4455123
проспект Стачек,primary,4455242
Краснопутиловская улица,secondary,4455257
Люблинский переулок,residential,4455260
Хабаровская улица,residential,4455308
улица Стойкости,tertiary,4455324
Лужская улица,residential,4455377
улица Шаврова,residential,4455415
улица Турку,residential,4455424
Церковная улица,residential,4455439
Петропавловская улица,primary,4455443
2-й Верхний переулок,unclassified,4455477
Пискарёвский проспект,secondary,4455562
Зольная улица,tertiary,4455612
Лаврский проезд,unclassified,4455617
проспект Маршала Блюхера,unclassified,4455658
улица Коммуны,tertiary,4455686
Водопроводный переулок,residential,4455778
Дворцовая набережная,secondary,4455797
Центральная улица,secondary,4455816
Фермское шоссе,unclassified,4455835
Маневровый проезд,unclassified,4455838
переулок Крылова,residential,4455986
Молодёжное шоссе,primary,4456041
Клубный переулок,residential,4456100
Российский проспект,primary,4456145
улица Типанова,primary_link,4456151
Гренадерская улица,secondary,4456201
улица Печатника Григорьева,residential,4456220
площадь Египетские Ворота,secondary,4456239
Краснопутиловская улица,secondary,4456250
улица Уточкина,tertiary,4456282
Херсонский проезд,residential,4456288
улица Козлова,residential,4456380
Вяземский переулок,tertiary,4456384
Бумажная улица,residential,4456433
Большая Зеленина улица,secondary,4456442
улица Карпинского,residential,4456467
Старобельская улица,residential,4456482
Парголовская улица,residential,4456498
Салтыковская дорога,unclassified,4456527
Пулковское шоссе,trunk,4456529
Большеохтинский проспект,secondary,4456541
Ручьёвская площадь,unclassified,4456566
Двинская улица,tertiary,4456626
Рубежная улица,unclassified,4456644
улица Маршала Новикова,residential,4456664
Глухоозёрское шоссе,secondary,4456665
Земский переулок,residential,4456692
переулок Декабристов,residential,4456704
Подгорная улица,unclassified,4456750
Камская улица,residential,4456823
Зеленогорское шоссе,primary,4456835
улица Черкасова,residential,4456846
3-я Конная Лахта,residential,4456851
Прожекторная улица,residential,4456953
Мелитопольский переулок,residential,4456988
набережная Макарова,secondary,4457036
улица Станюковича,residential,4457153
улица Шателена,residential,4457156
Брюсовская улица,tertiary,4457163
улица Дегтярёва,unclassified,4457181
Коломенская улица,residential,4457204
13-я Красноармейская улица,residential,4457206
Храмов переулок,residential,4457242
Советский проспект,tertiary,4457287
1-й Муринский проспект,residential,4457291
Газовая улица,residential,4457387
Григоровский проезд,tertiary,4457418
Витебский проспект,tertiary,4457455
